ConflictType,ITI,Reward,Risk,Trial
medconflict,1.75,7.31790123457,0.19,1
highconflict,1.75,13.9012345679,0.85,2
highconflict,2.625,9.75617283951,0.79,3
medconflict,2.625,5.36728395062,0.44,4
highconflict,1.75,7.31790123457,0.62,5
lowconflict,2.625,11.7067901235,0.45,6
lowconflict,1.75,11.462962963,0.22,7
medconflict,5.25,14.7546296296,0.74,8
medconflict,2.625,13.2916666667,0.66,9
medconflict,2.625,5.8549382716,0.55,10
highconflict,2.625,8.1712962963,0.52,11
medconflict,1.75,8.53703703704,0.31,12
medconflict,1.75,14.5108024691,0.78,13
highconflict,1.75,7.07407407407,0.38,14
medconflict,1.75,7.43981481481,0.26,15
highconflict,2.625,7.56172839506,0.6,16
highconflict,5.25,13.1697530864,0.88,17
medconflict,1.75,8.04938271605,0.75,18
medconflict,3.5,5.73302469136,0.58,19
highconflict,1.75,8.90277777778,0.72,20
medconflict,5.25,6.58641975309,0.57,21
highconflict,1.75,8.41512345679,0.69,22
lowconflict,2.625,13.5354938272,0.12,23
highconflict,2.625,9.63425925926,0.68,24
highconflict,1.75,10.7314814815,0.64,25
medconflict,1.75,7.68364197531,0.89,26
medconflict,1.75,6.0987654321,0.53,27
highconflict,4.375,9.51234567901,0.67,28
medconflict,3.5,11.0972222222,0.42,29
lowconflict,1.75,13.4135802469,0.4,30
highconflict,4.375,7.80555555556,0.65,31
highconflict,1.75,10.975308642,0.86,32
highconflict,1.75,10.3657407407,0.76,33
highconflict,2.625,6.22067901235,0.24,34
medconflict,1.75,6.95216049383,0.28,35
medconflict,1.75,11.2191358025,0.47,36
lowconflict,1.75,10.6095679012,0.1,37
lowconflict,2.625,13.6574074074,0.2,38
medconflict,1.75,5.24537037037,0.46,39
lowconflict,2.625,5.48919753086,0.83,40
medconflict,1.75,6.70833333333,0.27,41
medconflict,4.375,6.46450617284,0.81,42
lowconflict,1.75,12.8040123457,0.34,43
medconflict,1.75,11.3410493827,0.48,44
medconflict,4.375,5.61111111111,0.56,45
medconflict,1.75,12.6820987654,0.59,46
medconflict,6.125,7.19598765432,0.32,47
lowconflict,1.75,14.2669753086,0.33,48
lowconflict,1.75,6.83024691358,0.87,49
highconflict,2.625,9.87808641975,0.73,50
lowconflict,1.75,14.8765432099,0.36,51
lowconflict,1.75,8.78086419753,0.23,52
highconflict,4.375,12.5601851852,0.77,53
lowconflict,1.75,13.7793209877,0.43,54
lowconflict,6.125,14.0231481481,0.61,55
lowconflict,3.5,10.487654321,0.18,56
lowconflict,1.75,9.02469135802,0.13,57
lowconflict,1.75,8.29320987654,0.11,58
medconflict,1.75,6.34259259259,0.16,59
lowconflict,1.75,12.9259259259,0.29,60
highconflict,2.625,10.2438271605,0.63,61
highconflict,1.75,8.65895061728,0.39,62
highconflict,3.5,9.14660493827,0.82,63
lowconflict,3.5,13.0478395062,0.49,64
lowconflict,2.625,12.3163580247,0.15,65
lowconflict,1.75,11.950617284,0.17,66
medconflict,1.75,9.26851851852,0.35,67
lowconflict,5.25,10.0,0.21,68
highconflict,1.75,9.39043209877,0.71,69
highconflict,1.75,7.9274691358,0.7,70
highconflict,2.625,5.97685185185,0.14,71
lowconflict,1.75,11.5848765432,0.19,72
highconflict,1.75,11.8287037037,0.9,73
lowconflict,3.5,14.6327160494,0.25,74
lowconflict,1.75,14.1450617284,0.54,75
highconflict,1.75,12.1944444444,0.84,76
lowconflict,1.75,10.1219135802,0.3,77
medconflict,1.75,5.12345679012,0.41,78
medconflict,1.75,10.8533950617,0.5,79
lowconflict,2.625,12.4382716049,0.51,80
highconflict,3.5,12.0725308642,0.8,81
lowconflict,1.75,12.8040123457,0.1,82
highconflict,2.625,7.07407407407,0.52,83
highconflict,1.75,5.12345679012,0.36,84
medconflict,3.5,7.80555555556,0.35,85
medconflict,1.75,6.22067901235,0.69,86
lowconflict,1.75,14.2669753086,0.4,87
medconflict,2.625,13.6574074074,0.56,88
highconflict,7.0,8.29320987654,0.71,89
medconflict,1.75,7.68364197531,0.26,90
lowconflict,1.75,13.0478395062,0.44,91
lowconflict,6.125,13.9012345679,0.59,92
highconflict,4.375,6.58641975309,0.51,93
highconflict,2.625,11.8287037037,0.76,94
lowconflict,1.75,14.0231481481,0.11,95
highconflict,1.75,5.24537037037,0.13,96
highconflict,1.75,9.39043209877,0.83,97
highconflict,1.75,10.6095679012,0.68,98
lowconflict,1.75,11.462962963,0.12,99
medconflict,1.75,12.3163580247,0.63,100
medconflict,1.75,5.48919753086,0.58,101
lowconflict,5.25,5.36728395062,0.79,102
highconflict,2.625,12.5601851852,0.77,103
medconflict,3.5,7.43981481481,0.85,104
lowconflict,2.625,13.7793209877,0.15,105
highconflict,1.75,8.53703703704,0.47,106
medconflict,2.625,7.19598765432,0.27,107
medconflict,2.625,10.7314814815,0.46,108
medconflict,2.625,10.2438271605,0.38,109
highconflict,1.75,5.97685185185,0.2,110
lowconflict,2.625,12.6820987654,0.16,111
highconflict,1.75,7.31790123457,0.53,112
medconflict,1.75,12.9259259259,0.7,113
lowconflict,4.375,14.6327160494,0.42,114
medconflict,4.375,14.5108024691,0.72,115
medconflict,1.75,13.5354938272,0.65,116
medconflict,3.5,9.26851851852,0.41,117
lowconflict,1.75,8.1712962963,0.17,118
highconflict,1.75,8.78086419753,0.5,119
lowconflict,2.625,14.3888888889,0.34,120
medconflict,1.75,6.83024691358,0.23,121
medconflict,1.75,11.950617284,0.62,122
highconflict,1.75,9.75617283951,0.66,123
highconflict,1.75,11.0972222222,0.82,124
lowconflict,1.75,9.63425925926,0.18,125
highconflict,2.625,8.65895061728,0.75,126
